main_category,subcategory,word,lemma
negative-emotion,negative-emotion,humility,humility
negative-emotion,negative-emotion,despair,despair
negative-emotion,negative-emotion,anxiety,anxiety
negative-emotion,negative-emotion,daze,daze
negative-emotion,negative-fear,alarm,alarm
negative-emotion,negative-fear,creeps,creep
negative-emotion,negative-fear,horror,horror
negative-emotion,negative-fear,hysteria,hysteria
negative-emotion,negative-fear,panic,panic
negative-emotion,negative-fear,scare,scare
negative-emotion,negative-fear,stage-fright,stage-fright
negative-emotion,negative-fear,apprehension,apprehension
negative-emotion,negative-fear,timidity,timidity
negative-emotion,negative-fear,fear-intimidation,fear-intimidation
negative-emotion,negative-fear,negative-unconcern,negative-unconcern
negative-emotion,sadness,dolefulness,dolefulness
negative-emotion,sadness,melancholy,melancholy
negative-emotion,sadness,misery,misery
negative-emotion,sadness,forlornness,forlornness
negative-emotion,sadness,weepiness,weepiness
negative-emotion,sadness,sorrow,sorrow
negative-emotion,sadness,cheerlessness,cheerlessness
negative-emotion,sadness,depression,depression
negative-emotion,sadness,downheartedness,downheartedness
negative-emotion,general-dislike,anger,anger
negative-emotion,general-dislike,hate,hate
negative-emotion,general-dislike,dislike,dislike
negative-emotion,shame,conscience,conscience
negative-emotion,shame,self-disgust,self-disgust
negative-emotion,shame,embarrassment,embarrassment
negative-emotion,compassion,commiseration,commiseration
negative-emotion,compassion,tenderness,tenderness
negative-emotion,compassion,mercifulness,mercifulness
negative-emotion,humility,self-depreciation,self-depreciation
negative-emotion,humility,meekness,meekness
negative-emotion,despair,hopelessness,hopelessness
negative-emotion,despair,resignation,resignation
negative-emotion,despair,discouragement,discouragement
negative-emotion,despair,pessimism,pessimism
negative-emotion,anxiety,discomfiture,discomfiture
negative-emotion,anxiety,negative-agitation,negative-agitation
negative-emotion,anxiety,distress,distress
negative-emotion,anxiety,negative-concern,negative-concern
negative-emotion,anxiety,anxiousness,anxiousness
negative-emotion,anxiety,insecurity,insecurity
negative-emotion,anxiety,edginess,edginess
negative-emotion,anxiety,sinking,sinking
negative-emotion,anxiety,scruple,scruple
negative-emotion,anxiety,jitteriness,jitteriness
negative-emotion,anxiety,angst,angst
negative-emotion,anxiety,anxiousness,anxiousness
negative-emotion,anxiety,solicitude,solicitude
neutral-emotion,neutral-emotion,apathy,apathy
neutral-emotion,neutral-emotion,neutral-unconcern,neutral-unconcern
neutral-emotion,apathy,emotionlessness,emotionlessness
neutral-emotion,apathy,neutral-languor,neutral-languor
neutral-emotion,neutral-unconcern,indifference,indifference
ambiguous-emotion,ambiguous-emotion,thing,thing
ambiguous-emotion,ambiguous-emotion,gravity,gravity
ambiguous-emotion,ambiguous-emotion,surprise,surprise
ambiguous-emotion,ambiguous-emotion,ambiguous-agitation,ambiguous-agitation
ambiguous-emotion,ambiguous-emotion,ambiguous-fear,ambiguous-fear
ambiguous-emotion,ambiguous-emotion,pensiveness,pensiveness
ambiguous-emotion,ambiguous-emotion,ambiguous-expectation,ambiguous-expectation
ambiguous-emotion,gravity,earnestness,earnestness
ambiguous-emotion,surprise,astonishment,astonishment
ambiguous-emotion,ambiguous-agitation,unrest,unrest
ambiguous-emotion,ambiguous-agitation,stir,stir
ambiguous-emotion,ambiguous-agitation,tumult,tumult
ambiguous-emotion,ambiguous-fear,reverence,reverence
ambiguous-emotion,ambiguous-expectation,ambiguous-hope,ambiguous-hope
ambiguous-emotion,ambiguous-expectation,fever,fever
